Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2900.25,2909.75,28/01/2025 09:40:00,28/01/2025 15:10:00,RangeLongEntry_1,Exit on session close,$475.00,$475.00,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$612.50,$137.50,32,
2,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2979.75,2992.00,6/02/2025 09:40:00,6/02/2025 15:40:00,RangeLongEntry_2,Exit on session close,$612.50,$1087.50,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$650.00,$37.50,31,
3,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2964.00,2978.50,28/02/2025 09:30:00,28/02/2025 16:00:00,RangeLongEntry_3,Exit on session close,$725.00,$1812.50,$0.00,$0.00,$0.00,$0.00,$0.00,$237.50,$875.00,$150.00,40,
4,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3012.75,3016.50,3/03/2025 09:40:00,3/03/2025 16:00:00,RangeLongEntry_4,Exit on session close,$187.50,$2000.00,$0.00,$0.00,$0.00,$0.00,$0.00,$625.00,$262.50,$75.00,39,
6,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3327.00,3337.00,13/05/2025 09:40:00,13/05/2025 16:00:00,RangeLongEntry_6,Exit on session close,$500.00,$2612.50,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$837.50,$337.50,38,
7,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3377.75,3385.75,27/05/2025 09:40:00,27/05/2025 16:00:00,RangeLongEntry_7,Exit on session close,$400.00,$3012.50,$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$512.50,$112.50,31,
9,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,4000.25,4036.00,10/10/2025 09:40:00,10/10/2025 16:00:00,RangeLongEntry_9,Exit on session close,$1787.50,$6062.50,$0.00,$0.00,$0.00,$0.00,$0.00,$575.00,$1912.50,$125.00,39,
10,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,4344.25,4373.50,20/10/2025 09:40:00,20/10/2025 16:00:00,RangeLongEntry_10,Exit on session close,$1462.50,$7525.00,$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$2675.00,$1212.50,39,
5,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3033.25,3031.00,6/03/2025 09:40:00,6/03/2025 16:00:00,RangeShortEntry_5,Exit on session close,$112.50,$2112.50,$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$262.50,$150.00,39,
8,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3689.25,3664.00,9/09/2025 09:30:00,9/09/2025 16:00:00,RangeShortEntry_8,Exit on session close,$1262.50,$4275.00,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$1300.00,$37.50,40,
