Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,2803.2,2795.1,3/01/2025 08:55:00,3/01/2025 15:55:01,RangeShortEntry_1,TimeExit,$810.00,$810.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$1100.00,$290.00,85,
2,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2821.0,2835.9,14/01/2025 09:00:00,14/01/2025 15:55:00,RangeLongEntry_2,TimeExit,$1490.00,$2300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,$1520.00,$30.00,84,
3,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2910.6,2908.9,22/01/2025 08:50:00,22/01/2025 15:55:00,RangeLongEntry_3,TimeExit,-$170.00,$2130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$490.00,$660.00,86,
4,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2895.0,2904.1,23/01/2025 09:00:00,23/01/2025 15:55:01,RangeLongEntry_4,TimeExit,$910.00,$3040.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$1460.00,$550.00,84,
5,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3064.9,3055.9,21/02/2025 08:55:00,21/02/2025 09:20:00,RangeLongEntry_5,RangeLongStop,-$900.00,$2140.00,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,$0.00,$900.00,6,
6,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3065.7,3042.7,25/02/2025 08:50:00,25/02/2025 09:21:28,RangeShortEntry_6,RangeShortTarget,$2300.00,$4440.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2300.00,$0.00,7,
7,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3037.7,3060.6,12/03/2025 08:55:00,12/03/2025 11:27:15,RangeLongEntry_7,RangeLongTarget,$2290.00,$6730.00,$0.00,$0.00,$0.00,$0.00,$0.00,$290.00,$2290.00,$0.00,31,
8,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3158.2,3150.2,18/03/2025 08:55:00,18/03/2025 09:10:54,RangeLongEntry_8,RangeLongStop,-$800.00,$5930.00,$0.00,$0.00,$0.00,$0.00,$0.00,$800.00,$160.00,$960.00,4,
9,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3156.7,3149.3,19/03/2025 09:00:00,19/03/2025 09:23:13,RangeLongEntry_9,RangeLongStop,-$740.00,$5190.00,$0.00,$0.00,$0.00,$0.00,$0.00,$740.00,$0.00,$740.00,5,
10,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3385.3,3361.7,28/05/2025 08:45:00,28/05/2025 15:51:25,RangeShortEntry_10,RangeShortTarget,$2360.00,$7550.00,$0.00,$0.00,$0.00,$0.00,$0.00,$780.00,$2360.00,$0.00,86,
11,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3398.4,3405.1,9/06/2025 08:55:00,9/06/2025 15:55:10,RangeLongEntry_11,TimeExit,$670.00,$8220.00,$0.00,$0.00,$0.00,$0.00,$0.00,$360.00,$1850.00,$1180.00,85,
12,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3411.5,3419.2,11/06/2025 08:50:00,11/06/2025 09:43:15,RangeShortEntry_12,RangeShortStop,-$770.00,$7450.00,$0.00,$0.00,$0.00,$0.00,$0.00,$770.00,$440.00,$1210.00,11,
13,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3354.7,3377.8,30/06/2025 08:50:01,30/06/2025 14:35:49,RangeLongEntry_13,RangeLongTarget,$2310.00,$9760.00,$0.00,$0.00,$0.00,$0.00,$0.00,$590.00,$2310.00,$0.00,70,
14,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3366.6,3380.8,9/07/2025 09:00:00,9/07/2025 15:55:02,RangeLongEntry_14,TimeExit,$1420.00,$11180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,$1690.00,$270.00,84,
15,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3427.0,3430.9,6/08/2025 09:00:00,6/08/2025 15:55:00,RangeLongEntry_15,TimeExit,$390.00,$11570.00,$0.00,$0.00,$0.00,$0.00,$0.00,$230.00,$1110.00,$720.00,84,
16,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3756.1,3779.4,22/09/2025 09:00:00,22/09/2025 12:39:18,RangeLongEntry_16,RangeLongTarget,$2330.00,$13900.00,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$2330.00,$0.00,44,
