Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,43876,43743,3/01/2025 09:10:00,3/01/2025 09:20:47,RangeLongEntry_1,RangeLongStop,-$665.00,-$665.00,$0.00,$0.00,$0.00,$0.00,$0.00,$665.00,$65.00,$730.00,3,
2,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,43720,43888,8/01/2025 09:10:00,8/01/2025 15:55:00,RangeLongEntry_2,TimeExit,$840.00,$175.00,$0.00,$0.00,$0.00,$0.00,$0.00,$685.00,$975.00,$135.00,82,
3,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,45609,45995,5/02/2025 09:20:00,5/02/2025 14:21:19,RangeLongEntry_3,RangeLongTarget,$1930.00,$2105.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$1930.00,$0.00,61,
4,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45766,45623,14/02/2025 09:20:00,14/02/2025 15:55:00,RangeShortEntry_4,TimeExit,$715.00,$2820.00,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$930.00,$215.00,80,
5,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,43074,42595,21/05/2025 09:20:00,21/05/2025 12:30:02,RangeShortEntry_5,RangeShortTarget,$2395.00,$5215.00,$0.00,$0.00,$0.00,$0.00,$0.00,$345.00,$2395.00,$0.00,39,
6,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,43002,43238,3/06/2025 09:25:01,3/06/2025 15:55:00,RangeLongEntry_6,TimeExit,$1180.00,$6395.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,$1435.00,$255.00,79,
7,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45321,45398,24/07/2025 09:20:00,24/07/2025 09:37:07,RangeShortEntry_7,RangeShortStop,-$385.00,$6010.00,$0.00,$0.00,$0.00,$0.00,$0.00,$385.00,$75.00,$460.00,4,
8,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,45285,45417,25/07/2025 09:20:00,25/07/2025 15:55:01,RangeLongEntry_8,TimeExit,$660.00,$6670.00,$0.00,$0.00,$0.00,$0.00,$0.00,$260.00,$900.00,$240.00,80,
9,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45034,44611,31/07/2025 09:15:00,31/07/2025 14:51:35,RangeShortEntry_9,RangeShortTarget,$2115.00,$8785.00,$0.00,$0.00,$0.00,$0.00,$0.00,$185.00,$2115.00,$0.00,68,
10,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,43999,44057,1/08/2025 09:20:00,1/08/2025 15:55:07,RangeLongEntry_10,TimeExit,$290.00,$9075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$590.00,$1020.00,$730.00,80,
11,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45229,45221,13/08/2025 09:25:00,13/08/2025 10:12:04,RangeShortEntry_11,RangeShortStop,$40.00,$9115.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,$555.00,$515.00,10,
12,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,46127,46156,16/09/2025 09:25:00,16/09/2025 15:55:00,RangeLongEntry_12,TimeExit,$145.00,$9260.00,$0.00,$0.00,$0.00,$0.00,$0.00,$480.00,$250.00,$105.00,79,
13,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46961,46598,23/09/2025 09:25:00,23/09/2025 12:35:34,RangeShortEntry_13,RangeShortTarget,$1815.00,$11075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,$1815.00,$0.00,39,
14,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46478,46563,26/09/2025 09:10:00,26/09/2025 15:55:00,RangeShortEntry_14,TimeExit,-$425.00,$10650.00,$0.00,$0.00,$0.00,$0.00,$0.00,$850.00,$665.00,$1090.00,82,
15,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46588,46580,30/09/2025 09:15:00,30/09/2025 11:20:04,RangeShortEntry_15,RangeShortStop,$40.00,$10690.00,$0.00,$0.00,$0.00,$0.00,$0.00,$310.00,$1010.00,$970.00,26,
16,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46843,46488,15/10/2025 09:20:00,15/10/2025 12:00:09,RangeShortEntry_16,RangeShortTarget,$1775.00,$12465.00,$0.00,$0.00,$0.00,$0.00,$0.00,$190.00,$1775.00,$0.00,33,
