Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2846.2,2861.3,15/01/2025 09:30:00,15/01/2025 12:24:12,RangeLongEntry_1,RangeLongTarget,$1510.00,$1510.00,$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$1510.00,$0.00,35,
2,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2903.4,2915.8,28/01/2025 09:20:02,28/01/2025 13:07:11,RangeLongEntry_2,RangeLongTarget,$1240.00,$2750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$170.00,$1240.00,$0.00,46,
4,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3034.0,3044.6,12/02/2025 09:30:00,12/02/2025 10:55:27,RangeLongEntry_4,RangeLongTarget,$1060.00,$6560.00,$0.00,$0.00,$0.00,$0.00,$0.00,$90.00,$1060.00,$0.00,18,
5,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2967.6,2984.5,28/02/2025 09:15:00,28/02/2025 15:55:00,RangeLongEntry_5,TimeExit,$1690.00,$8250.00,$0.00,$0.00,$0.00,$0.00,$0.00,$530.00,$1690.00,$0.00,81,
7,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3322.3,3340.6,13/05/2025 09:15:02,13/05/2025 10:34:40,RangeLongEntry_7,RangeLongTarget,$1830.00,$10160.00,$0.00,$0.00,$0.00,$0.00,$0.00,$70.00,$1830.00,$0.00,16,
8,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3400.2,3391.8,29/05/2025 09:15:00,29/05/2025 09:30:58,RangeLongEntry_8,RangeLongStop,-$840.00,$9320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$840.00,$50.00,$890.00,4,
9,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3406.6,3416.9,2/07/2025 09:30:00,2/07/2025 11:40:43,RangeLongEntry_9,RangeLongTarget,$1030.00,$10350.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$1030.00,$0.00,27,
10,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3401.6,3398.7,4/07/2025 09:30:02,4/07/2025 09:43:50,RangeLongEntry_10,RangeLongStop,-$290.00,$10060.00,$0.00,$0.00,$0.00,$0.00,$0.00,$290.00,$60.00,$350.00,3,
14,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3423.6,3437.5,26/08/2025 09:25:04,26/08/2025 14:21:04,RangeLongEntry_14,RangeLongTarget,$1390.00,$17990.00,$0.00,$0.00,$0.00,$0.00,$0.00,$260.00,$1390.00,$0.00,60,
3,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,2970.1,2942.6,31/01/2025 09:25:01,31/01/2025 14:00:49,RangeShortEntry_3,RangeShortTarget,$2750.00,$5500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$340.00,$2750.00,$0.00,56,
6,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3486.9,3486.1,6/05/2025 09:25:00,6/05/2025 10:08:45,RangeShortEntry_6,RangeShortStop,$80.00,$8330.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,$1440.00,$1360.00,9,
11,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3417.6,3414.3,18/07/2025 09:20:00,18/07/2025 15:55:00,RangeShortEntry_11,TimeExit,$330.00,$10390.00,$0.00,$0.00,$0.00,$0.00,$0.00,$420.00,$640.00,$310.00,80,
12,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3480.2,3449.5,23/07/2025 09:25:00,23/07/2025 11:21:56,RangeShortEntry_12,RangeShortTarget,$3070.00,$13460.00,$0.00,$0.00,$0.00,$0.00,$0.00,$440.00,$3070.00,$0.00,24,
13,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3355.6,3324.2,30/07/2025 09:30:00,30/07/2025 14:21:01,RangeShortEntry_13,RangeShortTarget,$3140.00,$16600.00,$0.00,$0.00,$0.00,$0.00,$0.00,$460.00,$3140.00,$0.00,59,
