Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2783.25,2785.50,6/01/2025 08:56:02,6/01/2025 15:57:59,RangeLongEntry_1,Exit on session close,$112.50,$112.50,$0.00,$0.00,$0.00,$0.00,$0.00,$137.50,$412.50,$300.00,59,
2,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2891.25,2900.25,23/01/2025 09:00:34,23/01/2025 15:26:11,RangeLongEntry_2,Exit on session close,$450.00,$562.50,$0.00,$0.00,$0.00,$0.00,$0.00,$162.50,$712.50,$262.50,58,
3,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2900.25,2909.75,28/01/2025 09:30:04,28/01/2025 15:05:01,RangeLongEntry_3,Exit on session close,$475.00,$1037.50,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$612.50,$137.50,51,
4,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3055.50,3066.00,18/02/2025 08:55:00,18/02/2025 15:59:55,RangeLongEntry_4,TimeExit,$525.00,$1562.50,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$637.50,$112.50,78,
5,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3058.75,3026.25,25/02/2025 09:00:04,25/02/2025 09:31:19,RangeShortEntry_5,RangeShortTarget,$1625.00,$3187.50,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$1625.00,$0.00,7,
6,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3111.25,3122.50,17/03/2025 09:12:56,17/03/2025 15:45:02,RangeLongEntry_6,Exit on session close,$562.50,$3750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$562.50,$0.00,62,
7,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3156.25,3145.00,18/03/2025 08:56:07,18/03/2025 09:11:16,RangeLongEntry_7,RangeLongStop,-$562.50,$3187.50,$0.00,$0.00,$0.00,$0.00,$0.00,$562.50,$0.00,$562.50,4,
8,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3166.75,3181.00,27/03/2025 09:05:00,27/03/2025 15:55:05,RangeLongEntry_8,TimeExit,$712.50,$3900.00,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$862.50,$150.00,73,
9,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3407.75,3379.50,17/04/2025 09:00:06,17/04/2025 09:36:02,RangeShortEntry_9,RangeShortTarget,$1412.50,$5312.50,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$1412.50,$0.00,8,
10,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3387.25,3365.50,23/04/2025 08:45:23,23/04/2025 08:51:07,RangeShortEntry_10,RangeShortTarget,$1087.50,$6400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1087.50,$0.00,2,
11,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3389.75,3426.50,28/04/2025 09:12:11,28/04/2025 10:18:28,RangeLongEntry_11,RangeLongTarget,$1837.50,$8237.50,$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$1837.50,$0.00,14,
12,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3408.25,3401.00,5/05/2025 08:50:14,5/05/2025 09:01:04,RangeLongEntry_12,RangeLongStop,-$362.50,$7875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$362.50,$125.00,$487.50,3,
13,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3330.25,3315.50,12/05/2025 08:50:13,12/05/2025 11:18:14,RangeLongEntry_13,RangeLongStop,-$737.50,$7137.50,$0.00,$0.00,$0.00,$0.00,$0.00,$737.50,$225.00,$962.50,30,
14,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3269.00,3262.75,14/05/2025 09:25:22,14/05/2025 15:59:59,RangeShortEntry_14,TimeExit,$312.50,$7450.00,$0.00,$0.00,$0.00,$0.00,$0.00,$412.50,$737.50,$425.00,77,
15,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3386.25,3368.00,28/05/2025 08:45:15,28/05/2025 15:51:25,RangeShortEntry_15,RangeShortTarget,$912.50,$8362.50,$0.00,$0.00,$0.00,$0.00,$0.00,$350.00,$912.50,$0.00,83,
16,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3448.00,3455.50,4/06/2025 09:10:00,4/06/2025 15:58:29,RangeLongEntry_16,TimeExit,$375.00,$8737.50,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$1012.50,$637.50,78,
17,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3384.75,3405.00,7/07/2025 09:00:05,7/07/2025 15:59:56,RangeLongEntry_17,Exit on session close,$1012.50,$9750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$1187.50,$175.00,78,
18,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3422.00,3408.00,14/07/2025 09:08:12,14/07/2025 09:41:06,RangeShortEntry_18,RangeShortTarget,$700.00,$10450.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$0.00,8,
19,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3382.75,3403.75,17/07/2025 09:00:06,17/07/2025 15:59:59,RangeLongEntry_19,TimeExit,$1050.00,$11500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$1100.00,$50.00,74,
20,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3488.50,3502.75,22/07/2025 09:16:59,22/07/2025 15:58:16,RangeLongEntry_20,Exit on session close,$712.50,$12212.50,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$875.00,$162.50,72,
21,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3354.75,3342.00,31/07/2025 09:05:42,31/07/2025 15:59:36,RangeShortEntry_21,Exit on session close,$637.50,$12850.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$637.50,$0.00,66,
22,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3450.75,3464.25,7/08/2025 09:05:47,7/08/2025 14:34:37,RangeShortEntry_22,RangeShortStop,-$675.00,$12175.00,$0.00,$0.00,$0.00,$0.00,$0.00,$675.00,$750.00,$1425.00,62,
23,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3387.25,3381.25,14/08/2025 09:15:35,14/08/2025 15:54:22,RangeShortEntry_23,Exit on session close,$300.00,$12475.00,$0.00,$0.00,$0.00,$0.00,$0.00,$337.50,$600.00,$300.00,68,
24,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3424.75,3432.50,27/08/2025 08:50:33,27/08/2025 09:31:25,RangeShortEntry_24,RangeShortStop,-$387.50,$12087.50,$0.00,$0.00,$0.00,$0.00,$0.00,$387.50,$12.50,$400.00,9,
25,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3622.00,3626.75,3/09/2025 09:00:01,3/09/2025 13:37:16,RangeLongEntry_25,RangeLongStop,$237.50,$12325.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$912.50,$675.00,56,
26,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3754.75,3779.75,22/09/2025 09:00:30,22/09/2025 12:40:01,RangeLongEntry_26,RangeLongTarget,$1250.00,$13575.00,$0.00,$0.00,$0.00,$0.00,$0.00,$187.50,$1250.00,$0.00,44,
27,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,4002.25,3992.50,7/10/2025 08:56:10,7/10/2025 09:13:19,RangeLongEntry_27,RangeLongStop,-$487.50,$13087.50,$0.00,$0.00,$0.00,$0.00,$0.00,$487.50,$62.50,$550.00,4,
28,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,4333.75,4395.25,20/10/2025 09:15:09,20/10/2025 14:57:13,RangeLongEntry_28,RangeLongTarget,$3075.00,$16162.50,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$3075.00,$0.00,69,
29,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,4001.25,3983.50,6/11/2025 09:00:31,6/11/2025 09:37:59,RangeShortEntry_29,RangeShortTarget,$887.50,$17050.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$887.50,$0.00,8,
30,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,4098.00,4122.75,10/11/2025 09:05:29,10/11/2025 15:55:05,RangeLongEntry_30,TimeExit,$1237.50,$18287.50,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$1300.00,$62.50,83,
